Geneid,SRR1039508,SRR1039509,SRR1039512,SRR1039513,SRR1039516,SRR1039517,SRR1039520,SRR1039521
ENSG00000010803,718,660,813,487,904,967,651,651
ENSG00000010810,1652,1628,1617,905,2408,2780,1283,1406
ENSG00000010818,1704,1119,1830,739,2027,2078,1392,1114
ENSG00000010932,10,19,77,57,0,20,20,22
ENSG00000011007,1208,1118,1132,777,1246,1625,869,1043
ENSG00000011009,409,438,438,252,450,669,340,407
ENSG00000011021,761,631,653,413,688,863,600,747
ENSG00000011028,16361,12013,21307,9304,15783,17190,14692,13316
ENSG00000011052,2,1,3,0,7,6,5,0
ENSG00000011083,0,0,1,1,1,0,0,0
ENSG00000011105,3047,2872,3233,2284,3184,5062,3677,4588
ENSG00000011114,4,6,1,3,8,3,2,3
ENSG00000011132,193,205,230,117,220,272,168,194
ENSG00000011143,213,153,223,92,148,155,149,137
ENSG00000011198,881,2149,1173,1594,1776,2804,924,2641
ENSG00000011201,1,0,0,0,0,0,0,0
ENSG00000011243,594,527,695,304,836,693,487,496
ENSG00000011258,414,273,404,222,486,402,412,355
ENSG00000011260,460,454,365,287,401,537,304,371
ENSG00000011275,1638,1436,1805,1009,2066,2485,1476,1546
ENSG00000011295,392,368,429,324,446,547,354,374
ENSG00000011304,3538,3757,3049,2257,3398,5254,2937,3721
ENSG00000011332,9,8,19,8,11,23,5,4
ENSG00000011347,180,99,159,53,218,138,239,87
ENSG00000011376,561,489,433,271,465,604,349,326
ENSG00000011405,1107,1254,1530,1088,1809,2648,1192,1653
ENSG00000011422,385,343,477,222,320,519,378,371
ENSG00000011426,256,229,258,142,276,314,201,196
ENSG00000011451,1571,1646,1571,858,1560,1977,1304,1299
ENSG00000011454,1838,1781,2365,2212,2265,3671,1807,2455
ENSG00000011465,216355,188838,415153,209478,287970,306785,372022,364407
ENSG00000011478,96,133,120,132,115,232,99,150
ENSG00000011485,805,1127,916,651,1014,1629,659,1080
ENSG00000011523,729,684,1004,545,990,1204,647,920
ENSG00000011566,874,1173,1269,1180,1334,2998,834,1696
ENSG00000011590,3,6,7,1,1,6,0,0
ENSG00000011600,0,1,4,3,0,0,3,2
ENSG00000011638,943,793,829,658,836,934,877,958
ENSG00000011677,0,1,0,0,0,0,0,0
ENSG00000012048,326,97,406,92,321,162,263,150
ENSG00000012061,854,797,1183,525,1113,1538,702,747
ENSG00000012124,0,1,0,0,0,1,0,0
ENSG00000012171,1753,911,2147,606,1292,981,1277,888
ENSG00000012174,706,597,801,514,794,1130,645,704
ENSG00000012211,121,134,123,62,127,165,96,117
ENSG00000012223,0,0,0,1,4,3,0,0
ENSG00000012232,1128,971,1371,856,1548,1902,1055,1242
ENSG00000012504,0,0,0,0,0,0,0,1
ENSG00000012660,2034,1781,2574,2207,2238,3812,1836,2621
ENSG00000012779,0,0,0,0,0,0,0,0
ENSG00000012817,1082,976,1214,612,1350,1364,1,1
ENSG00000012822,4655,5270,6724,4860,6240,8422,4602,7794
ENSG00000012963,1,2,0,0,1,1,1,1
ENSG00000012983,1861,1472,2417,1257,2660,2945,1824,1750
ENSG00000013016,2011,3303,1793,980,1777,3271,1155,1489
ENSG00000013275,1014,989,987,645,1079,1413,722,767
ENSG00000013288,2980,2405,3920,2191,3829,4776,2070,2611
ENSG00000013293,290,23,445,56,591,75,581,77
ENSG00000013297,4719,1132,4063,1096,4025,855,3985,1245
ENSG00000013306,998,948,1038,508,1225,1392,755,773
ENSG00000013364,8807,8086,8480,5158,7635,9746,6505,7805
ENSG00000013374,1082,1123,1525,988,1563,1858,1066,1327
ENSG00000013375,1204,840,1495,610,1603,1855,1206,927
ENSG00000013392,221,140,268,149,298,297,271,219
ENSG00000013441,2512,2576,2389,2101,3243,3380,2216,2967
ENSG00000013503,254,262,318,171,313,410,204,227
ENSG00000013523,343,295,445,195,483,417,333,277
ENSG00000013561,811,858,986,772,1035,1272,687,958
ENSG00000013563,195,173,339,221,383,448,182,191
ENSG00000013573,280,156,185,58,151,151,179,152
ENSG00000013583,1231,1256,1481,1245,1612,2153,1011,1596
ENSG00000013588,531,407,901,527,856,615,368,454
ENSG00000013619,786,1094,1172,792,1250,1629,829,1124
ENSG00000013725,0,0,0,0,0,0,0,0
ENSG00000013810,112,136,145,59,91,122,71,86
ENSG00000014123,918,690,990,607,1109,1107,861,830
ENSG00000014138,63,31,72,24,32,56,51,34
ENSG00000014164,304,255,280,129,281,339,121,156
ENSG00000014216,3219,3483,3823,2268,3217,4902,2572,3280
ENSG00000014257,14,11,20,7,16,26,28,3
ENSG00000014641,1607,1290,1844,1034,1773,1979,1244,1247
ENSG00000014824,1148,972,1524,978,1591,2166,1052,1220
ENSG00000014914,585,349,798,375,643,497,675,526
ENSG00000014919,468,381,498,307,551,541,353,341
ENSG00000015133,44,49,26,31,30,46,29,41
ENSG00000015153,185,267,229,199,255,308,171,207
ENSG00000015171,2084,1841,2562,1463,2759,3193,2021,1933
ENSG00000015285,6,6,10,0,9,3,5,1
